,Canonical_smiles,Murcko,ClassE,No
1054,C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)c5ccccc5)ccc34)[C@@H]1CC[C@@H]2O,O=C(Oc1ccc2c(c1)CCC1C2CCC2CCCC21)c1ccccc1,0,6818
526,N=C(Nc1ccccc1)Nc2ccccc2,N=C(Nc1ccccc1)Nc1ccccc1,0,7789
3106,Cc1cc(ccc1NC(=O)[C@H](C2CCCCC2)n3c(nc4cc(F)c(F)cc34)c5ccc(Cl)cc5)C(=O)O,O=C(Nc1ccccc1)C(C1CCCCC1)n1c(-c2ccccc2)nc2ccccc21,1,3069
4263,C[C@@H]1CCCN1CCN2CCc3cc(ccc3C2=O)c4ccc(cc4)C#N,O=C1c2ccc(-c3ccccc3)cc2CCN1CCN1CCCC1,1,6730
7643,C[C@@H]1C[C@H](N)CN(C1)c2ccncc2Nc3ncc4ccc(nn34)c5c(F)cccc5F,c1ccc(-c2ccc3cnc(Nc4cnccc4N4CCCCC4)n3n2)cc1,1,6741
5779,Cc1cn(cn1)c2ccc(nn2)N3CCC(CC3)N4CCc5ccc(F)cc45,c1ccc2c(c1)CCN2C1CCN(c2ccc(-n3ccnc3)nn2)CC1,1,200
7669,Cn1c(SCCCN2CC[C@]3(C[C@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5ccncc5,c1ccc(C2CC23CCN(CCCSc2nnc(-c4ccncc4)[nH]2)C3)cc1,1,3362
5919,CCOC[C@H](Oc1ncnc2c1cnn2c3ccccc3Cl)C(=O)Nc4cnc(C)cn4,O=C(COc1ncnc2c1cnn2-c1ccccc1)Nc1cnccn1,0,944
5466,CC1=CC(=O)Oc2cc(OCCCCN3CCC(CC3)c4noc5cc(F)ccc45)ccc12,O=c1ccc2ccc(OCCCCN3CCC(c4noc5ccccc45)CC3)cc2o1,1,6733
3710,FC(F)(F)c1ccc2onc(NCC(=O)NC3CN(C3)[C@@H]4CC[C@@H](CC4)c5cncs5)c2c1,O=C(CNc1noc2ccccc12)NC1CN(C2CCC(c3cncs3)CC2)C1,1,4546
1784,FC(F)(F)Oc1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)COc4cccc(Cl)c4)c2,O=C(COc1ccccc1)NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1,1,8052
353,CC1=CC(=O)N(O)C(=C1)C2CCCCC2,O=c1cccc(C2CCCCC2)[nH]1,0,4754
4299,COc1cc(CNCC2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C2)cc(OC)c1OC,c1ccc(CNCC2CCN(CCCCCC(c3ccccc3)c3ccccc3)C2)cc1,1,6330
7139,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(cc4)C(F)(F)F)nnc1c5cnccn5,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)[nH]4)CC32)cc1,1,1992
3767,COC(=O)C1(CNC(=O)c2cc(Cl)cc(Cl)c2)CCN(Cc3ccc(OC)cc3)CC1,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1,1,4350
4573,COCCN1CCC[C@@H]1CN2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O,O=c1c2ccccc2c(Cc2ccccc2)nn1CC1CCCN1,1,2652
1111,CCC[S+]([O-])CCCN(CC)CC(O)COc1ccc(cc1)C#N,c1ccccc1,1,3404
