,Canonical_smiles,Murcko,ClassB,No
5514,CC(=O)Nc1cc(Nc2cc(NC3CC3)n4ncc(C#N)c4n2)c(F)cc1C,c1ccc(Nc2cc(NC3CC3)n3nccc3n2)cc1,0,2451
3524,CC(C)CNc1nc(ncc1C(=O)NCc2ccccc2)N3CCN(CC4CCCOC4)CC3,O=C(NCc1ccccc1)c1cnc(N2CCN(CC3CCCOC3)CC2)nc1,1,1691
5055,COc1cc(ccc1N)C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1ccccc1,1,1231
3909,CCN1C(=O)C(=Cc2nnc(c3c(F)cccc3Cl)n12)c4cc(ccc4C)C(=O)NC5CC5,O=C(NC1CC1)c1cccc(-c2cc3nnc(-c4ccccc4)n3[nH]c2=O)c1,0,8253
2652,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccc(C)cc4)c2)cc1,O=C(NCc1cccc(OCc2coc(-c3ccccc3)n2)c1)Oc1ccccc1,0,6684
6454,Fc1cnc2cc(Cl)cnc2c1CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,4159
2662,C[C@H](c1cccnc1)c2c(CCN(C)C)sc3ccccc23,c1cncc(Cc2csc3ccccc23)c1,1,1350
8160,C\C(=N/C(=N\S(=O)(=O)c1ccc(Cl)cc1)/N2C[C@@H](C(=N2)c3ccc(Cl)cc3)c4ccccc4)\N,O=S(=O)(N=CN1CC(c2ccccc2)C(c2ccccc2)=N1)c1ccccc1,0,7774
115,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,c1ccc(CCNCCOc2ccccc2)cc1,1,7077
4519,Cc1nc(N)c2nnn(C[C@H]3CN(Cc4nccs4)CCO3)c2n1,c1csc(CN2CCOC(Cn3nnc4cncnc43)C2)n1,0,5876
109,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,c1ccccc1,0,2785
7016,O=C(Nc1cc(on1)C2CC2)n3ccc4cc(Oc5ncnc6CNCc56)ccc34,O=C(Nc1cc(C2CC2)on1)n1ccc2cc(Oc3ncnc4c3CNC4)ccc21,0,6864
2224,CSc1ccccc1C(=O)N(CC2CCC2)[C@H]3CCNC3,O=C(c1ccccc1)N(CC1CCC1)C1CCNC1,0,1112
2550,OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3,O=C(NC1Cc2ccccc2C1)c1cc2sccc2[nH]1,0,8104
3720,N[C@H]1CCCN(C1)c2ncc(C(=O)N)c(Nc3cccc(c3)C(F)(F)F)n2,c1ccc(Nc2ccnc(N3CCCCC3)n2)cc1,1,4296
5798,O=C(C1CC12CCN(CC2)C3CCOCC3)N4CCN(CC4)C5CC5,O=C(C1CC12CCN(C1CCOCC1)CC2)N1CCN(C2CC2)CC1,0,5306
3000,OC(=O)[C@]12C[C@H]1CN(C2)C3CC[C@@]4(C3)Cc5ccccc5Cc6ccccc46,c1ccc2c(c1)Cc1ccccc1C1(CCC(N3CC4CC4C3)C1)C2,0,4913
3136,Fc1cccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)c1,O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,6166
8146,COc1ccc(NC(=N)NCCCOc2ccc(F)cc2)cc1,N=C(NCCCOc1ccccc1)Nc1ccccc1,1,4550
2610,CCOCCn1c(nc2ccccc12)N3CC[C@@H](C3)N(C)C,c1ccc2[nH]c(N3CCCC3)nc2c1,1,4113
2168,N[C@H]1Cn2c(C[C@@H]1c3cc(F)c(F)cc3F)nc4ncccc24.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F,c1ccc(C2CCn3c(nc4ncccc43)C2)cc1,0,7708
5193,Cc1ccc(cc1)C#CCOCc2cccc(COCC#Cc3ccc(C)cc3)[n+]2C,C(#Cc1ccccc1)COCc1cccc(COCC#Cc2ccccc2)[nH+]1,1,6010
3752,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc3cccc(OC)c3)CC1,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1,1,4501
4938,COc1ccc(cn1)c2cc(cnc2N)c3ccc(cc3)C(=O)N4CCOCC4,O=C(c1ccc(-c2cncc(-c3cccnc3)c2)cc1)N1CCOCC1,0,1763
4608,CSc1cc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)ccc1C#N,O=C1OCc2cc(CCN3CCN(CCc4ccccc4)CC3)ccc21,1,622
1416,CC1(C)CN2C(=CSC2=N1)CS\C(=N/C3CCCCC3)\NC4CCCCC4,C1=C(CSC(=NC2CCCCC2)NC2CCCCC2)N2CCN=C2S1,0,2822
3273,NCC[C@@H](Oc1ccc(Cl)cc1C#N)c2ccccc2.OC(=O)\C=C\C(=O)O,c1ccc(COc2ccccc2)cc1,0,1736
267,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,c1cnccn1,0,911
529,O=C(N[C@@H]1CC[C@@H](CCN2CCc3cc(ccc3C2)C#N)CC1)c4ccnc5ccccc45,O=C(NC1CCC(CCN2CCc3ccccc3C2)CC1)c1ccnc2ccccc12,1,291
7295,Cc1c(NS(=O)(=O)C)ccc2C(N(Cc3ccccc3c4ccccc4)C(=O)c12)C(=O)NC(C)(C)C,O=C1c2ccccc2CN1Cc1ccccc1-c1ccccc1,0,8213
6078,COc1ccc2C=CC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2n1,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5cccnc54)CC3)nc2N1,0,2127
7341,CN(C)C(=O)c1cc(CN2CCOc3c(F)cccc23)c4OC(=CC(=O)c4c1)N5CCOCC5,O=c1cc(N2CCOCC2)oc2c(CN3CCOc4ccccc43)cccc12,0,3079
7400,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnn4ccccc34)N5CCN(CC5)C(=O)C,c1ccn2ncc(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)c2c1,0,3233
1666,CCC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N,c1ccc(C2(c3ccccc3)CNC(c3ccccn3)=N2)cc1,1,1517
2874,NC(=O)c1ccnc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,c1ccc(CN2C3CCC2CC(Oc2ccccn2)C3)cc1,1,543
789,OC=O.Fc1ccc(C(=O)N2CCN(C(=O)C2)c3ccc(OC4CCN(CC4)C5CCC5)cc3)c(F)c1,O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCC4)CC3)cc2)C(=O)C1,0,2861
763,Oc1ccc(cc1)[C@@H]2CC[C@H](CC2)NC(=O)C3Cc4ccccc4CN3,O=C(NC1CCC(c2ccccc2)CC1)C1Cc2ccccc2CN1,0,2754
1480,Cc1nn(cc1CN2CCC3(CC2)OCc4ccccc34)c5c(Cl)cccc5NS(=O)(=O)C,c1ccc(-n2cc(CN3CCC4(CC3)OCc3ccccc34)cn2)cc1,0,4644
8256,COc1nc(ccc1n2cnc(C)c2)C3=NOC[C@@H](N3)c4oc5ccccc5c4,c1ccc2oc(C3CON=C(c4ccc(-n5ccnc5)cn4)N3)cc2c1,0,454
824,Cc1onc(c1)c2ccc3CCN(CCCSc4nnc(c5ccc(cc5)C(F)(F)F)n4C)CCc3c2,c1ccc(-c2nnc(SCCCN3CCc4ccc(-c5ccon5)cc4CC3)[nH]2)cc1,1,385
979,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(cc12)N3CCN(C)CC3,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,0,3133
8254,Cl.CN(C\C=C\c1ccc(cc1)c2ccccc2)Cc3cccc4cc[nH]c34,C(=Cc1ccc(-c2ccccc2)cc1)CNCc1cccc2cc[nH]c12,0,974
4939,Nc1ncc(cc1c2ccc(nc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CCOCC4,O=C(c1ccc(-c2cncc(-c3cccnc3)c2)cc1)N1CCOCC1,0,4512
5575,Cn1nc(cc1NC(=O)[C@H](Cc2ccccc2)NCC(=O)O)c3ccncc3,O=C(CCc1ccccc1)Nc1cc(-c2ccncc2)n[nH]1,0,6328
299,COc1ccc2cc(CC(=O)O)ccc2c1,c1ccc2ccccc2c1,0,5967
142,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,1,4531
