,Canonical_smiles,Murcko,ClassA,No
3983,CCN(C1CCN(CC[C@H](C2CCN(CC2)S(=O)(=O)C)c3cc(C)cc(C)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)C2CCNCC2)CC1,0,1811
6792,[2H]C([2H])([2H])Oc1cc(ncc1C#N)C(O)CN2CCN(C[C@H](O)c3ccc4C(=O)OCc4c3C)CC2,O=C1OCc2cc(CCN3CCN(CCc4ccccn4)CC3)ccc21,0,5279
6450,COc1nc2c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c(F)cnc2cc1C(F)(F)F,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,598
7556,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5cccc(c5)c6occn6,c1ccc(C2CC23CCN(CCCSc2nnc(-c4cccc(-c5ncco5)c4)[nH]2)C3)cc1,1,3450
7951,[I-].CC[N+]1(C)Cc2sc(NC(=O)Nc3ccc(Cl)cc3)c(C(=O)N)c2C1,O=C(Nc1ccccc1)Nc1cc2c(s1)C[NH2+]C2,0,306
1093,COc1cc(N)c(Cl)cc1C(=O)NC2CCN(Cc3ccccc3)CC2,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccccc1,1,2869
3622,COc1ccc(cc1)[C@@H]2CC[C@H](CC2)N3CC(C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F,O=C(CNC(=O)c1ccccc1)NC1CN(C2CCC(c3ccccc3)CC2)C1,0,7884
3792,CN(C)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4,O=C(Nc1ccc(C2CCNCC2)cc1C1=CCCCC1)c1ncc[nH]1,0,6806
1886,O=C1[C@H]2CCN1[C@@H]3CCc4ccc(Oc5cc(Cn6cncc6CN2)ccc5C#N)cc34,O=C1C2CCN1C1CCc3ccc(cc31)Oc1cccc(c1)Cn1cncc1CN2,1,4990
8129,CCCCc1cc(OC2CCN(CCS(=O)(=O)NC(C)(C)C)CC2)c3ncccc3c1,c1cnc2c(OC3CCNCC3)cccc2c1,1,3545
8204,CCOC(=O)C1=C(CN2CCOCC2C(=O)OC(C)C)NC(=NC1c3ccc(F)cc3Br)c4nccs4,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1,0,7940
3462,ONC(=O)\C=C\c1ccc2CN(CCc3cnn4ccccc34)Cc2c1,c1ccc2c(c1)CN(CCc1cnn3ccccc13)C2,0,7531
6431,COc1ccc2ncc(Cl)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,1120
1286,CC(C)(O)[C@@]1(CC[C@H](C1)N2CCC(CC2)c3ccc(F)cc3)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,O=C(NCc1ccccc1)C1CCC(N2CCC(c3ccccc3)CC2)C1,1,380
7188,Cc1cc(on1)c2nnc(SCCCN3CC4CCN(C4C3)c5ccc(cc5)C(F)(F)F)n2C,c1ccc(N2CCC3CN(CCCSc4nnc(-c5ccno5)[nH]4)CC32)cc1,1,1799
7318,Cc1c(CCN2CCN(CC2)C(=O)Cc3cnc(cn3)n4cnnn4)ccc5C(=O)OCc15,O=C1OCc2cc(CCN3CCN(C(=O)Cc4cnc(-n5cnnn5)cn4)CC3)ccc21,0,726
6807,COCc1cnc(nc1)N2CCC(CC2)[C@H]3C[C@H]3COCc4ccc(cc4F)S(=O)(=O)C,c1ccc(COCC2CC2C2CCN(c3ncccn3)CC2)cc1,0,2844
3137,Clc1cccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)c1,O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,7732
8087,C[C@]1(CCSC(=N1)N)c2cc(CNCC(F)(F)F)c(F)cc2F,C1=NC(c2ccccc2)CCS1,0,3278
2796,CC(C)COc1ccc(cc1C(=O)N2CCN(CC2)c3ccc(cc3F)C#N)S(=O)(=O)C,O=C(c1ccccc1)N1CCN(c2ccccc2)CC1,1,4818
3415,Cc1nnc(N2CC[C@@H](F)C2)c3nn(c(C)c13)c4ccc(OCC(F)(F)F)cc4,c1ccc(-n2cc3cnnc(N4CCCC4)c3n2)cc1,1,4506
2665,Fc1ccc(CNC(=O)N(C2CCN(Cc3ccncc3)CC2)c4ccc(Cl)cc4)cc1,O=C(NCc1ccccc1)N(c1ccccc1)C1CCN(Cc2ccncc2)CC1,0,7746
6160,COc1cnc2C=CC(=O)N(CCN3CCC(CC3)c4c[nH]c5ccc(cc45)C#N)c2c1,O=c1ccc2ncccc2n1CCN1CCC(c2c[nH]c3ccccc23)CC1,0,39
282,ClCCNP1(=O)OCCCN1CCCl,O=[PH]1NCCCO1,0,2772
7001,CC(C)(C)n1nnc2CC(CCc12)n3cnc(n3)c4ccc(F)cc4,c1ccc(-c2ncn(C3CCc4[nH]nnc4C3)n2)cc1,0,3921
5916,COC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4ccc(C)cn4,O=C(COc1ncnc2c1cnn2-c1ccccn1)Nc1ccccn1,0,6426
7713,CN(CCN1CC2CN(CCc3ccccc3)CC(C1)O2)S(=O)(=O)c4ccc(cc4)C#N,O=S(=O)(NCCN1CC2CN(CCc3ccccc3)CC(C1)O2)c1ccccc1,0,347
896,Nc1ccccc1NC(=O)c2ccc(cc2)c3ncc(CN4CCC4)cc3Cl,O=C(Nc1ccccc1)c1ccc(-c2ccc(CN3CCC3)cn2)cc1,0,1603
