,Canonical_smiles,Murcko,ClassI,No
4767,Fc1cccc2C(=O)N(CCc3ccccn3)C(C(=O)NCc4ccc(OC(F)(F)F)cc4)c12,O=C(NCc1ccccc1)C1c2ccccc2C(=O)N1CCc1ccccn1,1,6658
850,CO\N=C\COc1ccc(CN2CCC(CC2)NC(=O)C3=CC(=O)c4ccc(F)cc4O3)cc1F,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,1,6659
5503,CC(=O)Nc1cc(Nc2cc(NC3CC3)n4ncc(C#N)c4n2)cnc1C,c1cncc(Nc2cc(NC3CC3)n3nccc3n2)c1,0,6660
4605,CCOc1cc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)ccc1C#N,O=C1OCc2cc(CCN3CCN(CCc4ccccc4)CC3)ccc21,1,6661
8274,COc1ccc(CN2C(=O)n3ncnc3c4c5CCN(CC6CCOCC6)Cc5sc24)cc1,O=c1n(Cc2ccccc2)c2sc3c(c2c2ncnn12)CCN(CC1CCOCC1)C3,1,6662
7050,COc1ccc2ncc(F)c(C\C(=N\O)\C34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,N=C(Cc1ccnc2cccnc12)C12CCC(NCc3ccc4c(n3)NC(=O)CO4)(CC1)CO2,1,6663
1249,Cc1ccc2c(cccc2n1)c3nnc(SCCN4CCc5cc6nc(oc6c(Br)c5CC4)C(F)(F)F)n3C,c1cc(-c2nnc(SCCN3CCc4cc5ncoc5cc4CC3)[nH]2)c2cccnc2c1,1,6664
2202,CN1C[C@@H]2[C@@H](CN(Cc3ccc(F)c(Cl)c3)C(=O)c4cn(C)cn4)[C@@H]2C1,O=C(c1c[nH]cn1)N(Cc1ccccc1)CC1C2CNCC21,1,6665
7355,Cc1cc2ncc3CN(Cc3n2n1)[C@H]4CC[C@@H]([C@@H](N)C4)c5cc(F)c(F)cc5F,c1ccc(C2CCC(N3Cc4cnc5ccnn5c4C3)CC2)cc1,1,6666
1283,CCc1oc2ccc3CCN(CCCSc4nnc(c5ocnc5C)n4C)CCc3c2n1,c1ncc(-c2nnc(SCCCN3CCc4ccc5ocnc5c4CC3)[nH]2)o1,1,6667
2717,Brc1ccc(cc1)N(C2CCN(CC2)C3CCCC3)C(=O)Nc4ccccc4,O=C(Nc1ccccc1)N(c1ccccc1)C1CCN(C2CCCC2)CC1,1,6668
5693,CCCCN(CC)CC#CC#Cc1ccc(Cl)cc1,c1ccccc1,1,6669
807,CN(C)C(=O)N1CC(=C[C@@]1(CC[C@@H](N)C(F)F)c2ccccc2)c3cc(F)ccc3F,C1=C(c2ccccc2)CNC1c1ccccc1,0,6670
2924,Cc1ncoc1c2nnc(SCCCN3[C@@H]4CC[C@H]3C[C@H](C4)c5ccc(cc5)C(F)(F)F)n2C,c1ccc(C2CC3CCC(C2)N3CCCSc2nnc(-c3cnco3)[nH]2)cc1,1,6671
5285,CN1CC=CCC(C1)c2oc3ccccc3c2,C1=CCC(c2cc3ccccc3o2)CNC1,0,6672
5623,O=C(Cc1ccc(cc1)n2cnnn2)N3CCN(CCc4cccc(c4)C#N)CC3,O=C(Cc1ccc(-n2cnnn2)cc1)N1CCN(CCc2ccccc2)CC1,1,6673
2595,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4onc(Br)c4,c1cc(-c2ccc3cc(CCN4CCCC4)ccc3n2)on1,1,6674
2319,N#Cc1ccc(cc1)c2cnc3nc(sc3c2)N4CCC(CC4)N5CCCCC5,c1ccc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)cc1,1,6675
7807,CC1(CCC1)C(=O)N2CCO[C@H](C2)c3nc(c4ccc(cc4F)C(=O)Nc5cc(ccn5)C(F)(F)F)c6c(N)nccn36,O=C(Nc1ccccn1)c1ccc(-c2nc(C3CN(C(=O)C4CCC4)CCO3)n3ccncc23)cc1,0,6676
5528,COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCCN(C)CC4,c1ccc(Nc2cnnc3ccc(N4CCCNCC4)cc23)cc1,1,6677
2185,CCCCC(NC(=O)CC1CCN(Cc2ccn(c2)c3ccc(cc3)C(F)(F)F)CC1)C4=CNC(=O)C=C4,O=C(CC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)NCc1ccc(=O)[nH]c1,0,6678
2846,CCS(=O)(=O)N1C[C@@H]([C@H](C1)C(=O)Nc2ccc(cc2F)N3C=CC=CC3=O)C(=O)Nc4ccc(Cl)cn4,O=C(Nc1ccc(-n2ccccc2=O)cc1)C1CNCC1C(=O)Nc1ccccn1,1,6679
2355,COc1ccc(CCCN2[C@H](CN(NS(=O)(=O)C)C2=O)c3ccc(OC)cc3)cc1,O=C1NCC(c2ccccc2)N1CCCc1ccccc1,0,6680
3099,CCOC(=O)OC(C)OC1=C(N(C)S(=O)(=O)c2ccccc12)C(=O)Nc3ccccn3,O=C(Nc1ccccn1)C1=Cc2ccccc2S(=O)(=O)N1,0,6681
7789,CCc1[nH]ncc1Cn2cc(cn2)c3ccc(Cl)c(OC(F)F)c3,c1ccc(-c2cnn(Cc3cn[nH]c3)c2)cc1,0,6682
5901,CCNC(=O)N1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)[N+](=O)[O-])c3c2)C(F)(F)F,c1ccc(CNc2cccc3ncc(N4CCNCC4)cc23)cc1,1,6683
2652,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccc(C)cc4)c2)cc1,O=C(NCc1cccc(OCc2coc(-c3ccccc3)n2)c1)Oc1ccccc1,0,6684
8058,CCOC(=O)C1=C(CN2CCOC[C@@H]2C(=O)O)NC(=N[C@H]1c3ccc(Cl)cc3Cl)c4nccs4,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1,0,6685
1949,CC(C)c1ccccc1C(=O)N(CC2CCCC2)[C@H]3CCNC3,O=C(c1ccccc1)N(CC1CCCC1)C1CCNC1,1,6686
6410,CNC(=O)c1ccc(Oc2ccc(cc2)S(=O)(=O)[C@@]3(CCC4(CCNCC4)C3)C(=O)NO)cc1,O=S(=O)(c1ccc(Oc2ccccc2)cc1)C1CCC2(CCNCC2)C1,0,6687
366,OC[C@@H]1CC[C@@H](O1)n2cnc3C(=O)NC=Nc23,O=c1[nH]cnc2c1ncn2C1CCCO1,0,6688
4727,OC(=O)c1cccnc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,c1ccc(OC2CCN(CC3CCN(c4ccccn4)CC3)CC2)cc1,0,6689
7096,Cl.Cl.NCc1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2,O=C1CCc2c(Oc3ccc4c(c3)CC(NC(=O)c3ccccc3)CC4)ccnc2N1,1,6690
1566,CN(C1CCN(C)CC1)C(=O)N2CC(=C[C@H]2c3ccccc3)c4cc(F)ccc4F,O=C(NC1CCNCC1)N1CC(c2ccccc2)=CC1c1ccccc1,1,6691
8170,Cc1onc(CNc2nc(N)nc3ccn(Cc4ccccn4)c23)c1,c1ccc(Cn2ccc3ncnc(NCc4ccon4)c32)nc1,1,6692
2370,CCO\N=C(\c1ccc(F)c(F)c1)/c2ccc(CN3CCC4(CC3)OCC5=CN(C)C(=O)C=C45)cn2,N=C(c1ccccc1)c1ccc(CN2CCC3(CC2)OCc2c[nH]c(=O)cc23)cn1,1,6693
5711,O[C@H](COc1cccc2OCC(=O)Nc12)CN3CCC4(CC3)Cc5cc(Cl)ccc5O4,O=C1COc2cccc(OCCCN3CCC4(CC3)Cc3ccccc3O4)c2N1,1,6694
1619,O[C@H]1CN(C[C@H]2C[C@H](O)c3ncccc3C2)CC[C@@H]1c4ccc(F)cc4Cl,c1ccc(C2CCN(CC3CCc4ncccc4C3)CC2)cc1,0,6695
6779,COc1cc(ccc1C#N)C(C)(C)CN2CCN(CCc3ccc4C(=O)OCc4c3C)CC2,O=C1OCc2cc(CCN3CCN(CCc4ccccc4)CC3)ccc21,1,6696
3528,CC(C)CNCc1ccc(cc1)c2ccccc2S(=O)(=O)N3CCCC3,O=S(=O)(c1ccccc1-c1ccccc1)N1CCCC1,1,6697
1439,CCN1CCN(CC1)c2cc3[nH]c(nc3cc2Cl)C(=O)C4(C)CCC(=O)CC4,O=C1CCC(C(=O)c2nc3ccc(N4CCNCC4)cc3[nH]2)CC1,1,6698
5871,Cc1ncccc1C2=Nc3cn(nc3C(=O)N2C[C@H]4CCCN(C[C@H]5CCCO5)C4)c6cccc(OC(F)F)c6,O=c1c2nn(-c3ccccc3)cc2nc(-c2cccnc2)n1CC1CCCN(CC2CCCO2)C1,1,6699
5287,CN1CCCCC(C1)c2ccc(Cl)c(Cl)c2,c1ccc(C2CCCCNC2)cc1,1,6700
3126,COc1cc(\C=C\C2=Nc3ccccc3C(=O)N2c4ccccc4)ccc1n5cnc(C)c5,O=c1c2ccccc2nc(C=Cc2ccc(-n3ccnc3)cc2)n1-c1ccccc1,1,6701
1816,COc1ccc(NC(=O)c2ccc(cc2F)C(=N)N(C)C)c(c1)C(=O)Nc3ccc(Cl)cn3,O=C(Nc1ccccc1C(=O)Nc1ccccn1)c1ccccc1,1,6702
7171,COc1ccc(cc1)c2c[nH]c(n2)[C@H]3Cc4c([nH]c5ccccc45)[C@H](N3)C6CCOCC6,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(C4CCOCC4)N3)n2)cc1,1,6703
679,Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OC(=O)Oc5c4)CC3,O=C(NC1CCN(Cc2ccc3oc(=O)oc3c2)CC1)c1cc(=O)c2ccccc2o1,0,6704
1428,CC1=Nc2cc(F)ccc2C(=O)N1c3ccc(OC4CCN(CC4)C5CCC5)cc3,O=c1c2ccccc2ncn1-c1ccc(OC2CCN(C3CCC3)CC2)cc1,1,6705
2492,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cc(ccc5F)C(F)(F)F)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,6706
6040,FC(F)(F)c1cnc2CCN(Cc2c1)C(=O)[C@@]34CCO[C@@H]3C[C@H](C4)N5CCC(CC5)c6ccccc6,O=C(N1CCc2ncccc2C1)C12CCOC1CC(N1CCC(c3ccccc3)CC1)C2,1,6707
7399,CC(=O)N1CCC(CC1)n2cc(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)c(C)n2,c1ccn2c(-c3ccnc(Nc4cnn(C5CCNCC5)c4)n3)cnc2c1,1,6708
3309,CC(C)c1cc(cc2nc(oc12)c3ccc(cc3)C(=O)NCC4CN(C(=O)O4)c5ccc(cn5)c6ccc(C)s6)C#N,O=C(NCC1CN(c2ccc(-c3cccs3)cn2)C(=O)O1)c1ccc(-c2nc3ccccc3o2)cc1,0,6709
3200,CCOP(=O)(Sc1ccccc1)Sc2ccccc2,O=[PH](Sc1ccccc1)Sc1ccccc1,0,6710
1863,OC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N,c1ccc(C2(c3ccccc3)CNC(c3ccccn3)=N2)cc1,1,6711
5859,COCCN1CCCC(CN2C(=O)c3nn(cc3N=C2c4cccnc4C)c5ccc(cc5)C#N)C1,O=c1c2nn(-c3ccccc3)cc2nc(-c2cccnc2)n1CC1CCCNC1,0,6712
4904,CC(C)(C)c1ccc(CNC(=O)c2cccc(c2)c3nn([C@@H]4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)cc1,O=C(NCc1ccccc1)c1cccc(-c2nn(C3CCCNC3)c3ncncc23)c1,1,6713
2113,Clc1cccc(c1)N2CCN(CCN3Cc4ccccc4C3)C2=O,O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccccc1,1,6714
3213,Fc1ccc(cc1)C(=O)N2CCN(CCN3C(=O)Nc4ccccc4C3=O)CC2,O=C(c1ccccc1)N1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,1,6715
653,Fc1ccc2OC(=CC(=O)c2c1)C(=O)NC3CCN(CC3)C4CCc5cc6OCOc6cc45,O=C(NC1CCN(C2CCc3cc4c(cc32)OCO4)CC1)c1cc(=O)c2ccccc2o1,1,6716
2386,Cc1cc(Nc2ccccc2)nc(NCc3ccc4OCOc4c3)n1,c1ccc(Nc2ccnc(NCc3ccc4c(c3)OCO4)n2)cc1,1,6717
5633,C(C[C@]1(CCOC2(CCCC2)C1)c3ccccn3)NCc4cccs4,c1ccc(C2(CCNCc3cccs3)CCOC3(CCCC3)C2)nc1,1,6718
1175,Cc1cc(c2ccc3CCN(CCCSc4nnc(c5ccc(cc5)C(F)(F)F)n4C)CCc3c2)n(C)n1,c1ccc(-c2nnc(SCCCN3CCc4ccc(-c5ccn[nH]5)cc4CC3)[nH]2)cc1,1,6719
2708,OCCN1CCC(CC1)N(C(=O)NCc2ccc(F)cc2)c3ccc(Cl)cc3,O=C(NCc1ccccc1)N(c1ccccc1)C1CCNCC1,0,6720
7977,COc1cccc(c1)c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(cnn3c2)C(=O)N,c1ccc(-c2cc3c(NC4CCCC4)ccnn3c2)cc1,1,6721
3969,CC#CCn1c(N2CCCNCC2)c(C#N)c3N(C)C(=O)N(Cc4c(cnc5ccccc45)C#N)C(=O)c13,O=c1[nH]c2cc(N3CCCNCC3)[nH]c2c(=O)n1Cc1ccnc2ccccc12,1,6722
6732,Cc1nsc(n1)c2nnc3[C@@H](CCO)N(CCn23)C(=O)c4ccc(F)cc4,O=C(c1ccccc1)N1CCn2c(nnc2-c2ncns2)C1,0,6723
857,COc1cc(ccc1CN2CCC(CC2)NC(=O)C3=CC(=O)c4ccc(F)cc4O3)C(=O)NCCN5CCCC5,O=C(NCCN1CCCC1)c1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccccc4o3)CC2)cc1,1,6724
3054,FC(F)(F)c1ccc2[nH]c(nc2c1)[C@@H]3CC[C@@]4(CC3)CN(C(=O)O4)c5ccccc5,O=C1OC2(CCC(c3nc4ccccc4[nH]3)CC2)CN1c1ccccc1,1,6725
7024,FC(F)(F)c1cccc(NC(=O)n2ccc3cc(Oc4ncnc5CNCCc45)ccc23)c1,O=C(Nc1ccccc1)n1ccc2cc(Oc3ncnc4c3CCNC4)ccc21,1,6726
6442,COC(=O)c1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,6727
6129,CN(C)c1ccc(\C=C\c2c(F)cccc2F)nc1,C(=Cc1ccccn1)c1ccccc1,0,6728
6414,C[C@H]1N(CCn2c1nnc2c3csc(n3)c4ccc(F)cc4F)C(=O)c5ccc(cc5)c6cccs6,O=C(c1ccc(-c2cccs2)cc1)N1CCn2c(nnc2-c2csc(-c3ccccc3)n2)C1,1,6729
4263,C[C@@H]1CCCN1CCN2CCc3cc(ccc3C2=O)c4ccc(cc4)C#N,O=C1c2ccc(-c3ccccc3)cc2CCN1CCN1CCCC1,1,6730
5450,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C[C@@H]3C(=O)O)C4CC(C4)c5cc(F)cc(F)c5F)c2c1,c1ccc(C2CC(N3CCC(CCCc4ccnc5ccccc45)CC3)C2)cc1,0,6731
3227,CC(N(C)C)C1(CCCCC1)c2ccc3ccccc3c2,c1ccc2cc(C3CCCCC3)ccc2c1,1,6732
5466,CC1=CC(=O)Oc2cc(OCCCCN3CCC(CC3)c4noc5cc(F)ccc45)ccc12,O=c1ccc2ccc(OCCCCN3CCC(c4noc5ccccc45)CC3)cc2o1,1,6733
8248,CCc1cc(COc2cc(nn2c3ccc(cc3)C#N)C(=O)N4CCC[C@@H](N)C4)on1,O=C(c1cc(OCc2ccno2)n(-c2ccccc2)n1)N1CCCCC1,1,6734
4946,COc1ccc(cn1)c2cc(cnc2N)c3ccc(cc3)S(=O)(=O)N4CCN(C)CC4,O=S(=O)(c1ccc(-c2cncc(-c3cccnc3)c2)cc1)N1CCNCC1,0,6735
6310,CC(C)[C@]1(C)CC(=O)N(Cc2cc(F)cc(c2)C(=O)N[C@@H](C)c3ccccc3)C(=N)N1,N=C1NCCC(=O)N1Cc1cccc(C(=O)NCc2ccccc2)c1,1,6736
6584,Cc1ncc(OC[C@]2(C[C@H]2C(=O)Nc3ccc(F)cn3)c4ccc(F)cc4)c(C)n1,O=C(Nc1ccccn1)C1CC1(COc1cncnc1)c1ccccc1,1,6737
1179,ONC(=O)CCCCCN1[C@@H](Cc2ccccc2)C(=O)N(Cc3ccccc3)c4ccccc4C1=O,O=C1NC(Cc2ccccc2)C(=O)N(Cc2ccccc2)c2ccccc21,1,6738
1596,CSc1ccc(cc1)c2cccc(c2)N3C=C(C(=O)NC(C)C)C(=O)c4cccnc34,O=c1ccn(-c2cccc(-c3ccccc3)c2)c2ncccc12,1,6739
8048,NC(=O)c1cc(Cl)c2c(Cl)c(C3CC3)n(C4CCCNC4)c2n1,c1cnc2c(c1)cc(C1CC1)n2C1CCCNC1,1,6740
7643,C[C@@H]1C[C@H](N)CN(C1)c2ccncc2Nc3ncc4ccc(nn34)c5c(F)cccc5F,c1ccc(-c2ccc3cnc(Nc4cnccc4N4CCCCC4)n3n2)cc1,1,6741
1609,CN1C(=O)c2ccccc2N=C1c3ccc(OCCCN4CCCCC4)cc3,O=c1[nH]c(-c2ccc(OCCCN3CCCCC3)cc2)nc2ccccc12,1,6742
5951,OC1CN(C[C@H](Oc2ncnc3c2cnn3c4ccccc4Cl)C(=O)Nc5ccc(cn5)C#N)C1,O=C(Nc1ccccn1)C(CN1CCC1)Oc1ncnc2c1cnn2-c1ccccc1,1,6743
5029,CN1C=C(C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C(=CC1=O)C(F)(F)F,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1ccc(=O)[nH]c1,0,6744
7465,Cc1c(ccc(F)c1C#N)[C@H]2CN3CCN(C[C@H]3CO2)C(=O)Cc4ccc(nn4)n5cnnn5,O=C(Cc1ccc(-n2cnnn2)nn1)N1CCN2CC(c3ccccc3)OCC2C1,0,6745
4283,CC(C)(C)c1cc(CN2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)cc(c1O)C(C)(C)C,c1ccc(CN2CCN(CCCCCC(c3ccccc3)c3ccccc3)CC2)cc1,1,6746
6742,O=C1COc2ccc(CNC3CCN(CCN4C(=O)C=Cc5ncc(OCc6ccccn6)cc45)CC3)nc2N1,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncc(OCc6ccccn6)cc54)CC3)nc2N1,0,6747
1748,Nc1ccc(cn1)c2nnc([nH]2)C3CCN(Cc4ccc(cc4)c5nc6C=CNC(=O)c6cc5c7ccccc7)CC3,O=c1[nH]ccc2nc(-c3ccc(CN4CCC(c5nnc(-c6cccnc6)[nH]5)CC4)cc3)c(-c3ccccc3)cc12,1,6748
4447,O=C1COc2ccccc2N1CCCN3CCC(CC3)N4C(=O)Nc5ncccc45,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ncccc32)CC1,0,6749
6531,O=C(N1CCN(CC1)C2CCC2)c3ccc(CN4CCOCC4)cc3,O=C(c1ccc(CN2CCOCC2)cc1)N1CCN(C2CCC2)CC1,1,6750
4805,CO[C@H]1CN(CCN2C(=O)C=Nc3ccc(OC)cc23)CC[C@H]1NCc4cc5OCCOc5cn4,O=c1cnc2ccccc2n1CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,0,6751
4893,Cc1noc(n1)c2ccc3c(c2)c4CCCCc4n3CCCSc5cc(F)cc(F)c5,c1ccc(SCCCn2c3c(c4cc(-c5ncno5)ccc42)CCCC3)cc1,1,6752
2193,Fc1ccc(cc1Cl)N2CCN(CCN3Cc4ccccc4C3)C2=O,O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccccc1,1,6753
1221,CS(=O)(=O)c1ccc(c(Cl)c1)c2noc(n2)[C@@H](CC3CC3)[C@H](N)C(=C4CCCC4)F.OC(=O)C(F)(F)F,C(CC(CC1CC1)c1nc(-c2ccccc2)no1)=C1CCCC1,1,6754
3238,Cc1c2CCCN3CCC[C@@H]3CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15,O=C1CCCc2c1cc1n2-c2cccc(c2)NCC2CCCN2CCC1,1,6755
6876,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CCCC56COC6)cc4,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CCCC34COC4)cc2)C1,0,6756
2913,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6c(ncn56)C(=O)N7CCOCC7)CC3,O=C(c1ncn2c1COc1c(CCN3CCN(c4cccc5ncccc45)CC3)cccc1-2)N1CCOCC1,1,6757
2893,NC(=O)c1ccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c(F)c1,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,6758
7564,Fc1ccc(CN2CC3CN(CCNS(=O)(=O)c4ccc(F)cc4)CC(C2)O3)cc1,O=S(=O)(NCCN1CC2CN(Cc3ccccc3)CC(C1)O2)c1ccccc1,0,6759
3531,COc1cc(ccc1n2cnc(C)c2)c3cn(Cc4ccc(F)cc4)nn3,c1ccc(Cn2cc(-c3ccc(-n4ccnc4)cc3)nn2)cc1,1,6760
6941,NC1=NC2(CO1)c3cc(ccc3OCC24CC4)c5cncc(c5)C6CC6,C1=NC2(CO1)c1cc(-c3cncc(C4CC4)c3)ccc1OCC21CC1,1,6761
7855,Cc1c2COC(=O)c2ccc1[C@@H](O)CN3CCC4(CC3)CCN(C4)c5cnc(cn5)S(=O)(=O)C,O=C1OCc2cc(CCN3CCC4(CC3)CCN(c3cnccn3)C4)ccc21,1,6762
5253,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCOCC4)c5ccc(Cl)cc5,O=C(NC(CCCN1CCOCC1)c1ccccc1)C1CCN(c2ncnc3[nH]ccc23)CC1,0,6763
7408,C[C@H](N)C(=O)N1CCC(CC1)n2nc(C)c(Nc3ncc(Cl)c(n3)c4cnn5ccccc45)c2C,c1ccn2ncc(-c3ccnc(Nc4cnn(C5CCNCC5)c4)n3)c2c1,0,6764
1961,FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)NC(CN4CCOCC4)c5ccccc5)c2,O=C(NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)NC(CN1CCOCC1)c1ccccc1,1,6765
7047,COc1ccc2ncc(F)c(C\C(=N/O)\C34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,N=C(Cc1ccnc2cccnc12)C12CCC(NCc3ccc4c(n3)NC(=O)CO4)(CC1)CO2,1,6766
4435,O=C1Nc2ccccc2N1C3CCN(CCOc4ccccc4)CC3,O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1,1,6767
6437,COc1ccc2ncc(CO)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,6768
2653,COc1cccnc1[C@H](C)c2c(CCN(C)C)sc3ccccc23,c1ccc(Cc2csc3ccccc23)nc1,1,6769
1035,CCc1oc2cc3CCN(CCCSc4nnc(c5ocnc5C)n4C)CCc3cc2n1,c1ncc(-c2nnc(SCCCN3CCc4cc5ncoc5cc4CC3)[nH]2)o1,1,6770
1071,CCc1cn(c2ccc(F)cc2)c3ccc(Cl)cc13,c1ccc(-n2ccc3ccccc32)cc1,1,6771
1090,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@@H](C1)N2CC3=O)C4CNc5ccccc45,O=C1CN2C3CC(OC(=O)C4CNc5ccccc54)CC2CC1C3,1,6772
4310,COc1cc(CN2CCC(CNCCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C2)cc(OC)c1OC,c1ccc(CN2CCC(CNCCCCCC(c3ccccc3)c3ccccc3)C2)cc1,1,6773
2670,CSc1nn2c3CCCCc3c(C)nc2c1S(=O)(=O)c4ccccc4,O=S(=O)(c1ccccc1)c1cnn2c3c(cnc12)CCCC3,1,6774
5930,CC(C)OC[C@H](Oc1ncnc2c1cnn2c3ccccc3Cl)C(=O)Nc4ccc(F)cn4,O=C(COc1ncnc2c1cnn2-c1ccccc1)Nc1ccccn1,0,6775
8307,C[C@H]1N(CCn2c1nnc2c3csc(C)n3)C(=O)c4ccc(cc4)c5ccccc5,O=C(c1ccc(-c2ccccc2)cc1)N1CCn2c(nnc2-c2cscn2)C1,0,6776
2046,Cl.Cc1ccc(cc1)C(=O)N2CCN(C(=O)C2)c3ccc(OC4CCN(CC4)C5CCC5)cc3,O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCC4)CC3)cc2)C(=O)C1,0,6777
1419,C[C@@H]1CN(CC2(CC2)C(=O)N)CCN1S(=O)(=O)c3ccc(cc3)[C@](C)(O)C(F)(F)F,O=S(=O)(c1ccccc1)N1CCN(CC2CC2)CC1,0,6778
774,Oc1ccc(nc1)[C@@]2(O)CC[C@@H](CC2)NC(=O)CCc3ccccc3,O=C(CCc1ccccc1)NC1CCC(c2ccccn2)CC1,0,6779
3145,CN(CCOc1ccc(cc1)N2C=CC(=CC2=O)OCc3ccccc3)Cc4ccccc4,O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCNCc2ccccc2)cc1,1,6780
256,CN(C)CCOC(c1ccccc1)c2ccccc2C,c1ccc(Cc2ccccc2)cc1,1,6781
5905,CN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)C#N)c3c2)C(F)(F)F,c1ccc(CNc2cccc3ncc(N4CCNCC4)cc23)cc1,1,6782
4948,C[C@@H]1CN([C@@H](CO1)c2ccccc2)c3ccc4OCC(=O)Nc4n3,O=C1COc2ccc(N3CCOCC3c3ccccc3)nc2N1,0,6783
3755,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc3cccc(c3)C(F)(F)F)CC1,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1,1,6784
467,C[C@H]([C@](O)(Cn1cncn1)c2ccc(F)cc2F)S(=O)(=O)C,c1ccc(CCn2cncn2)cc1,0,6785
7514,Cc1c(ccc(F)c1C#N)[C@@H]2CN3CCN(C[C@H]3CO2)C(=O)Cc4ccc(nc4)n5cnnn5,O=C(Cc1ccc(-n2cnnn2)nc1)N1CCN2CC(c3ccccc3)OCC2C1,1,6786
1110,CN1C(=O)C=C(NCCN(CCO)CCCc2ccc(cc2)[N+](=O)[O-])N(C)C1=O,O=c1cc(NCCNCCCc2ccccc2)[nH]c(=O)[nH]1,1,6787
5573,COc1ccc(NC(=O)\C=C\CN(C)C)cc1Nc2ncc(Cl)c(n2)c3cnn4ccccc34,c1ccc(Nc2nccc(-c3cnn4ccccc34)n2)cc1,1,6788
877,CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F,c1ccccc1,0,6789
7529,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5nccs5,c1ccc(C2CC23CCN(CCCSc2nnc(-c4nccs4)[nH]2)C3)cc1,1,6790
