,Canonical_smiles,Murcko,ClassI,No
1779,Cc1ccc(cc1)C23CNCC2C3,c1ccc(C23CNCC2C3)cc1,0,3873
7401,CC(=O)N1CCC(CC1)n2ncc(Nc3ncc(Cl)c(n3)c4cnn5ccccc45)c2C,c1ccn2ncc(-c3ccnc(Nc4cnn(C5CCNCC5)c4)n3)c2c1,0,3874
4311,CC(C)(C)c1cc(CN2CCC(CNCCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C2)cc(c1O)C(C)(C)C,c1ccc(CN2CCC(CNCCCCCC(c3ccccc3)c3ccccc3)C2)cc1,1,3875
6523,CCCC[C@@H]1C[C@@H](CC[C@@H]1NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)N(C)C(C)C,O=C(CNC(=O)c1ccccc1)NC1CCCCC1,1,3876
2468,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(Cl)c(Cl)c5)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,3877
3275,NCC[C@@H](Oc1cc(Cl)c(F)cc1C#N)c2ccccc2.OC(=O)C(=O)O,c1ccc(COc2ccccc2)cc1,1,3878
5661,CC(C)(C1CCN(CC1)C(=O)c2cc(F)ccc2S(=O)(=O)C)S(=O)(=O)c3cccc(c3)C(F)(F)F,O=C(c1ccccc1)N1CCC(CS(=O)(=O)c2ccccc2)CC1,1,3879
4387,Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)c5ccc(cc5C)C(=O)O)c6cnccn6,O=C1N(c2ccc(-c3ccccc3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1cnccn1,1,3880
4201,O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(OCCN3CCCC3)cc2,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(OCCN2CCCC2)cc1,0,3881
2394,Fc1ccccc1c2ccc3oc(nc3n2)N4CCN5CCC4CC5,c1ccc(-c2ccc3oc(N4CCN5CCC4CC5)nc3n2)cc1,1,3882
5139,FC(F)(F)c1ccc2ncnc(NCC(=O)NC3CN(C3)[C@@H]4CC[C@@H](CC4)c5ccccn5)c2c1,O=C(CNc1ncnc2ccccc12)NC1CN(C2CCC(c3ccccn3)CC2)C1,1,3883
7806,CCOC(=O)C1=C(CN2CCO[C@H](C)[C@H]2C(=O)O)NC(=NC1c3ccc(F)cc3Br)c4nccs4,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1,1,3884
638,CC(=O)Nc1cccc(c1)N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2,O=S(=O)(CC1CCCCC1)NCCCCN1CCN(c2ccccc2)CC1,1,3885
3421,CN(C)S(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4cnn(C)c4,O=c1c2ccccc2ccc2ncc(-c3cn[nH]c3)cc12,0,3886
2200,Cn1cnc(c1)C(=O)N(C[C@@H]2[C@H]3CN(CC4CCCC4)C[C@@H]23)Cc5cccc(OC(F)(F)F)c5,O=C(c1c[nH]cn1)N(Cc1ccccc1)CC1C2CN(CC3CCCC3)CC21,1,3887
5058,O[C@H](CNC(=O)C1=NNC(=O)c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1n[nH]c(=O)c2ccccc12,1,3888
6565,CCn1cc(cn1)[C@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)c7oc(SC)nn7,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(c4cn[nH]c4)(c4nnco4)N3)n2)nc1,1,3889
